ufcod;ufname;ano;nascimentos;populacao
11;RO;2000;31307;1379787
12;AC;2000;15228;557526
13;AM;2000;67646;2812557
14;RR;2000;9744;324397
15;PA;2000;126340;6192307
16;AP;2000;14238;477032
17;TO;2000;26205;1157098
21;MA;2000;100811;5651475
22;PI;2000;58615;2843278
23;CE;2000;143393;7430661
24;RN;2000;56444;2776782
25;PB;2000;57427;3443825
26;PE;2000;163405;7918344
27;AL;2000;65763;2822621
28;SE;2000;40716;1784475
29;BA;2000;239530;13070250
31;MG;2000;300958;17891494
32;ES;2000;58380;3097232
33;RJ;2000;259118;14391282
35;SP;2000;687779;37032403
41;PR;2000;179462;9563458
42;SC;2000;94828;5356360
43;RS;2000;176719;10187798
50;MS;2000;40490;2078001
51;MT;2000;49478;2504353
52;GO;2000;94746;5003228
53;DF;2000;47991;2051146
11;RO;2010;25835;1562409
12;AC;2010;16495;733559
13;AM;2010;74188;3483985
14;RR;2010;9738;450479
15;PA;2010;140687;7581051
16;AP;2010;15008;669526
17;TO;2010;24471;1383445
21;MA;2010;119566;6574789
22;PI;2010;49424;3118360
23;CE;2010;128831;8452381
24;RN;2010;47668;3168027
25;PB;2010;58699;3766528
26;PE;2010;136591;8796448
27;AL;2010;54164;3120494
28;SE;2010;34016;2068017
29;BA;2010;212201;14016906
31;MG;2010;255126;19597330
32;ES;2010;51853;3514952
33;RJ;2010;215262;15989929
35;SP;2010;601352;41262199
41;PR;2010;152051;10444526
42;SC;2010;84611;6248436
43;RS;2010;133243;10693929
50;MS;2010;40132;2449024
51;MT;2010;48929;3035122
52;GO;2010;87476;6003788
53;DF;2010;44251;2570160
